response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1,2,3,1-5 mins,4,Canvas,False,4,4
2,1,3,1-5 mins,3,Canvas,False,3,3
3,1,3,1-5 mins,3,Canvas,False,3,3
4,4,4,1-5 mins,3,ED,False,3,3
5,2,4,1-5 mins,5,Canvas,False,5,5
6,2,1,1-5 mins,4,Canvas,False,4,4
7,3,3,10-30 mins,4,ED,False,4,4
8,2,3,1-5 mins,3,Canvas,True,4,4
9,2,4,1-5 mins,4,Canvas,False,4,4
10,2,1,1-5 mins,2,Canvas,False,2,2
11,3,4,1-5 mins,5,Canvas,True,3,4
12,1,3,1-5 mins,3,Canvas,False,3,3
13,2,4,1-5 mins,5,Canvas,False,3,4
14,4,4,10-30 mins,3,ED,False,4,4
15,2,3,1-5 mins,4,Canvas,False,3,3
16,1,3,1-5 mins,3,ED,False,3,3
17,2,2,1-5 mins,2,Canvas,True,2,2
18,1,3,1-5 mins,1,Canvas,False,3,3
19,1,3,1-5 mins,3,Canvas,False,3,3
20,1,3,1-5 mins,4,ED,False,3,3
21,2,4,1-5 mins,3,Canvas,False,4,4
22,1,3,1-5 mins,4,Canvas,False,3,3
23,2,4,1-5 mins,4,Canvas,False,3,4
24,1,3,1-5 mins,3,Canvas,False,3,3
25,1,3,1-5 mins,4,Canvas,False,3,3
